UID          PID    PPID  C STIME TTY          TIME CMD
devasc      7723       1  0 11:22 ?        00:00:00 /usr/bin/speech-dispatcher --spawn --communication-method unix_socket --socket-path /run/user/900/speech-dispatcher/speechd.sock
devasc      7735    5612  0 11:22 ?        00:01:25 /usr/lib/firefox/firefox -contentproc -childID 12 -isForBrowser -prefsLen 9806 -prefMapSize 216193 -parentBuildID 20200602222727 -appdir /usr/lib/firefox/browser 5612 true tab
devasc      7812    5612  0 11:25 ?        00:00:03 /usr/lib/firefox/firefox -contentproc -parentBuildID 20200602222727 -prefsLen 9806 -prefMapSize 216193 -appdir /usr/lib/firefox/browser 5612 true rdd
devasc      7847    1429  0 11:27 ?        00:00:00 [sh] <defunct>
devasc      7849    1429  0 11:27 ?        00:00:00 [sh] <defunct>
devasc      7887    1429  0 11:27 ?        00:00:00 [sh] <defunct>
devasc      7943    1429  0 11:27 ?        00:00:00 [sh] <defunct>
devasc      7945    1429  0 11:27 ?        00:00:00 [sh] <defunct>
devasc      7988    1429  0 11:27 ?        00:00:00 [sh] <defunct>
devasc      8608    1429  0 11:54 ?        00:00:00 [sh] <defunct>
devasc      8610    1429  0 11:54 ?        00:00:00 [sh] <defunct>
devasc      8652    1429  0 11:54 ?        00:00:00 [sh] <defunct>
devasc      9381    1429  0 13:13 ?        00:00:00 [sh] <defunct>
devasc      9383    1429  0 13:13 ?        00:00:00 [sh] <defunct>
devasc      9424    1429  0 13:13 ?        00:00:00 [sh] <defunct>
devasc     10045    1429  0 13:41 ?        00:00:00 [sh] <defunct>
devasc     10047    1429  0 13:41 ?        00:00:00 [sh] <defunct>
devasc     10087    1429  0 13:41 ?        00:00:00 [sh] <defunct>
devasc     10514    7440  0 14:18 pts/2    00:00:00 bash
root       10569       2  0 14:20 ?        00:00:00 [kworker/1:1-events]
root       10694       2  0 14:31 ?        00:00:00 [kworker/0:1-cgroup_destroy]
root       10717       2  0 14:31 ?        00:00:00 [kworker/0:3-events]
root       10718       2  0 14:31 ?        00:00:01 [kworker/1:2-events]
systemd+   10758       1  0 14:33 ?        00:00:02 /lib/systemd/systemd-timesyncd
root       10780       1  0 14:33 ?        00:00:02 /usr/libexec/fwupd/fwupd
devasc     11003    1429  0 14:41 ?        00:00:00 [sh] <defunct>
devasc     11005    1429  0 14:41 ?        00:00:00 [sh] <defunct>
devasc     11043    1429  0 14:41 ?        00:00:00 [sh] <defunct>
devasc     11260    5612  1 14:47 ?        00:00:23 /usr/lib/firefox/firefox -contentproc -childID 15 -isForBrowser -prefsLen 9873 -prefMapSize 216193 -parentBuildID 20200602222727 -appdir /usr/lib/firefox/browser 5612 true tab
devasc     11396    5612  0 14:52 ?        00:00:01 /usr/lib/firefox/firefox -contentproc -childID 17 -isForBrowser -prefsLen 9873 -prefMapSize 216193 -parentBuildID 20200602222727 -appdir /usr/lib/firefox/browser 5612 true tab
devasc     11504    1429  0 14:54 ?        00:00:00 [sh] <defunct>
devasc     11506    1429  0 14:54 ?        00:00:00 [sh] <defunct>
devasc     11546    1429  0 14:54 ?        00:00:00 [sh] <defunct>
devasc     11612    1429  0 14:55 ?        00:00:00 [sh] <defunct>
devasc     11614    1429  0 14:55 ?        00:00:00 [sh] <defunct>
devasc     11654    1429  0 14:55 ?        00:00:00 [sh] <defunct>
devasc     11700    1429  0 14:55 ?        00:00:00 [sh] <defunct>
devasc     11702    1429  0 14:55 ?        00:00:00 [sh] <defunct>
devasc     11742    1429  0 14:56 ?        00:00:00 [sh] <defunct>
devasc     11789    1429  0 14:56 ?        00:00:00 [sh] <defunct>
devasc     11791    1429  0 14:56 ?        00:00:00 [sh] <defunct>
devasc     11831    1429  0 14:56 ?        00:00:00 [sh] <defunct>
devasc     11876    1429  0 14:56 ?        00:00:00 [sh] <defunct>
devasc     11878    1429  0 14:56 ?        00:00:00 [sh] <defunct>
devasc     11916    1429  0 14:56 ?        00:00:00 [sh] <defunct>
devasc     11963    1429  0 14:56 ?        00:00:00 [sh] <defunct>
devasc     11965    1429  0 14:56 ?        00:00:00 [sh] <defunct>
devasc     12001    1429  0 14:56 ?        00:00:00 [sh] <defunct>
